Datetime;Consumption;FeedIn;Production;Purchased;SelfConsumption
2024-05-02 07:15:00+02:00;502,48242;39,9968;320,21636;222,26284;280,21958
2024-05-02 07:30:00+02:00;200,11087;189,182708;356,6922;32,601388;167,50949
2024-05-02 07:45:00+02:00;122,7489;588,55512;711,304;0;122,7489
2024-05-02 08:00:00+02:00;649,96368;0;67,28312;582,68054;67,28312
2024-05-02 08:15:00+02:00;392,82816;0;0;392,82816;0
2024-05-02 08:30:00+02:00;188,46846;479,25122;663,4353;4,2843732;184,18408
2024-05-02 08:45:00+02:00;195,63734;6,09024;163,40268;38,32491;157,31244
2024-05-02 09:00:00+02:00;265,39184;1426,11486;1691,50672;0;265,39184
2024-05-02 09:15:00+02:00;338,9419;4856,7818;5195,7236;0;338,9419
2024-05-02 09:30:00+02:00;306,26318;5806,54;6112,8032;0;306,26318
2024-05-02 09:45:00+02:00;311,10986;5337,4624;5648,5722;0;311,10986
2024-05-02 10:00:00+02:00;300,35352;3495,2396;3795,593;0;300,35352
2024-05-02 10:15:00+02:00;265,83106;8232,6534;8498,484;0;265,83106
2024-05-02 10:30:00+02:00;259,81494;5028,7592;5288,574;0;259,81494
2024-05-02 10:45:00+02:00;263,0879;4147,7818;4410,8696;0;263,0879
2024-05-02 11:00:00+02:00;2103,9454;1672,5414;3763,899;12,5879468;2091,3574
2024-05-02 11:15:00+02:00;1458,1972;0;1376,28968;81,90742;1376,28968
2024-05-02 11:30:00+02:00;273,34156;2401,9944;2675,336;0;273,34156
2024-05-02 11:45:00+02:00;319,4204;4274,3492;4593,7696;0;319,4204
2024-05-02 12:00:00+02:00;492,40624;9986,5274;10478,934;0;492,40624
2024-05-02 12:15:00+02:00;380,49024;8241,9472;8622,4376;0;380,49024
2024-05-02 12:30:00+02:00;254,96338;3285,5344;3540,4978;0;254,96338
2024-05-02 12:45:00+02:00;276,75;1979,09106;2255,841;0;276,75
2024-05-02 13:00:00+02:00;2246,75;829,37848;2812,2574;263,87116;1982,8789
2024-05-02 13:15:00+02:00;2661,811;2565,2584;5227,0694;0;2661,811
2024-05-02 13:30:00+02:00;2605,7382;8900,076;11505,814;0;2605,7382
